,suffix,count
0,com,24568
1,com.ua,6805
2,ua,3064
3,in.ua,858
4,org,572
5,edu.ua,232
6,club,196
7,,195
8,io,185
9,ru,180
10,biz,163
11,net,122
12,od.ua,75
13,net.ua,50
14,kiev.ua,50
15,lviv.ua,49
16,us,46
17,pro,44
18,su,43
19,online,42
20,pl,41
21,dk,41
22,ag,38
23,guru,30
24,me,29
25,co.uk,23
26,ai,22
27,org.uk,21
28,se,17
29,dev,15
30,co,14
31,cn.ua,14
32,com.au,13
33,wiki,12
34,gov.ua,11
35,gift,7
36,com.ar,7
37,edu,6
38,life,6
39,eu,5
40,ee,5
41,so,5
42,world,5
43,it,5
44,ms,4
45,org.ua,4
46,tv,4
47,no,4
48,to,3
49,doctor,3
50,xn--j1amh,3
51,gov.uk,3
52,kyiv.ua,2
53,cc,2
54,link,2
55,at,2
56,top,2
57,info,2
58,site,2
59,pt,2
60,ws,1
61,shop,1
62,nl,1
63,media,1
64,kr.ua,1
65,fit,1
66,clinic,1
67,training,1
68,land,1
69,gov,1
70,ac.uk,1
